0.0000	1.0000	5.0000	100.0000	30.0000	1.0000	1.0000	1.0000
0.0100	1.0000	5.0000	100.0000	29.9020	1.0500	2.0000	1.2990
0.0200	1.0000	5.0000	100.0000	29.7060	1.1000	3.0000	1.5961
0.0300	1.0000	5.0000	100.0000	29.4120	1.1500	4.0000	1.8902
0.0400	1.0000	5.0000	100.0000	29.0200	1.2000	5.0000	2.1804
0.0500	1.0000	5.0000	100.0000	28.5300	1.2500	6.0000	2.4657
0.0600	1.0000	5.0000	100.0000	27.9420	1.3000	7.0000	2.7451
0.0700	1.0000	5.0000	100.0000	27.2560	1.3500	8.0000	3.0177
0.0800	1.0000	5.0000	100.0000	26.4720	1.4000	9.0000	3.2824
0.0900	1.0000	5.0000	100.0000	25.5900	1.4500	10.0000	3.5383
0.1000	1.0000	5.0000	100.0000	24.6100	1.5000	11.0000	3.7844
0.1100	1.0000	5.0000	100.0000	23.5320	1.5500	12.0000	4.0197
0.1200	1.0000	5.0000	100.0000	22.3560	1.6000	13.0000	4.2433
0.1300	1.0000	5.0000	100.0000	21.0820	1.6500	14.0000	4.4541
0.1400	1.0000	5.0000	100.0000	19.7100	1.7000	15.0000	4.6512
0.1500	1.0000	5.0000	100.0000	18.2400	1.7500	16.0000	4.8336
0.1600	1.0000	5.0000	100.0000	16.6720	1.8000	17.0000	5.0003
0.1700	1.0000	5.0000	100.0000	15.0060	1.8500	18.0000	5.1504
0.1800	1.0000	5.0000	100.0000	13.2420	1.9000	19.0000	5.2828
0.1900	1.0000	5.0000	100.0000	11.3800	1.9500	20.0000	5.3966
0.2000	1.0000	5.0000	100.0000	9.4200	2.0000	21.0000	5.4908
0.2100	1.0000	5.0000	100.0000	7.3620	2.0500	22.0000	5.5644
0.2200	1.0000	5.0000	100.0000	5.2060	2.1000	23.0000	5.6165
0.2300	1.0000	5.0000	100.0000	2.9520	2.1500	24.0000	5.6460
0.2400	1.0000	5.0000	100.0000	0.6000	2.2000	25.0000	5.6520
0.2500	1.0000	5.0000	100.0000	-1.8500	2.2500	26.0000	5.6335
0.2600	1.0000	5.0000	100.0000	-4.3980	2.3000	27.0000	5.5895
0.2700	1.0000	5.0000	100.0000	-7.0440	2.3500	28.0000	5.5191
0.2800	1.0000	5.0000	100.0000	-9.7880	2.4000	29.0000	5.4212
0.2900	1.0000	5.0000	100.0000	-12.6300	2.4500	30.0000	5.2949
0.3000	1.0000	5.0000	100.0000	-15.5700	2.5000	31.0000	5.1392
0.3100	1.0000	5.0000	100.0000	-18.6080	2.5500	32.0000	4.9531
0.3200	1.0000	5.0000	100.0000	-21.7440	2.6000	33.0000	4.7357
0.3300	1.0000	5.0000	100.0000	-24.9780	2.6500	34.0000	4.4859
0.3400	1.0000	5.0000	100.0000	-28.3100	2.7000	35.0000	4.2028
0.3500	1.0000	5.0000	100.0000	-31.7400	2.7500	36.0000	3.8854
0.3600	1.0000	5.0000	100.0000	-35.2680	2.8000	37.0000	3.5327
0.3700	1.0000	5.0000	100.0000	-38.8940	2.8500	38.0000	3.1438
0.3800	1.0000	5.0000	100.0000	-42.6180	2.9000	39.0000	2.7176
0.3900	1.0000	5.0000	100.0000	-46.4400	2.9500	40.0000	2.2532
0.4000	1.0000	5.0000	100.0000	-50.3600	3.0000	41.0000	1.7496
0.4100	1.0000	5.0000	100.0000	-54.3780	3.0500	42.0000	1.2058
0.4200	1.0000	5.0000	100.0000	-58.4940	3.1000	43.0000	0.6209
0.4300	1.0000	5.0000	100.0000	-62.7080	3.1500	44.0000	-0.0062
